Data set,Ligand InChI,LogBIO,PubChem SID,AIC100%,BIC100%,r2a100%,AIC95%,BIC95%,r2a95%
Training set,"InChI=1S/C26H22FNO/c1-16-15-26(2,3)28-21-12-11-20-19-9-4-5-10-22(19)29-23(25(20)24(16)21)14-17-7-6-8-18(27)13-17/h4-15,28H,1-3H3/b23-14-",9.080922,103962108,8.546,8.641,8.589,8.604,8.645,8.501
Training set,"InChI=1S/C19H19N/c1-12-11-19(2,3)20-18-9-14-8-13-6-4-5-7-15(13)17(14)10-16(12)18/h4-7,9-11,20H,8H2,1-3H3",7.853872,103965695,7.365,7.314,7.511,7.512,7.325,7.75
Training set,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",8.455932,172097179,8.467,8.734,8.473,8.468,8.761,8.724
Training set,"InChI=1S/C25H21ClFNO/c1-14-13-25(2,3)28-20-11-10-19-18-9-8-17(27)12-21(18)29-24(23(19)22(14)20)15-4-6-16(26)7-5-15/h4-13,24,28H,1-3H3",8.568636,103957954,9.234,9.002,9.465,9.48,9.037,9.197
Training set,"InChI=1S/C36H35FN4O6/c1-36(2,34(43)40-35(44)38-21-22-7-13-25(45-3)14-8-22)30-26-5-4-6-28(37)31(26)47-32-27(30)15-16-29(39-32)23-9-11-24(12-10-23)33(42)41-17-19-46-20-18-41/h4-16,30H,17-21H2,1-3H3,(H2,38,40,43,44)/t30-/m0/s1",6.205512,313068923,5.656,6.432,6.672,5.981,6.23,6.087
Training set,"InChI=1S/C17H23BrO2/c1-11-6-5-7-17(2,3)13(11)8-12-9-16(20-4)14(18)10-15(12)19/h9-10,13,19H,1,5-8H2,2-4H3",7.113509,103979805,7.256,7.123,7.199,6.953,7.069,7.153
Training set,"InChI=1S/C27H25NO2/c1-17-16-27(2,3)28-22-13-12-21-20-10-5-6-11-23(20)30-24(26(21)25(17)22)15-18-8-7-9-19(14-18)29-4/h5-16,28H,1-4H3/b24-15-",7.273273,103962111,7.613,8.553,7.038,7.447,8.641,7.653
Training set,"InChI=1S/C24H29NO2/c1-6-7-9-20-23-16(22-18(26-5)10-8-11-19(22)27-20)12-13-17-21(23)15(2)14-24(3,4)25-17/h8,10-14,20,25H,6-7,9H2,1-5H3",5.769551,104002705,7.136,8.139,7.307,7.164,8.143,7.383
Test set,"InChI=1S/C25H22FNO/c1-15-14-25(2,3)27-20-13-12-19-18-6-4-5-7-21(18)28-24(23(19)22(15)20)16-8-10-17(26)11-9-16/h4-14,24,27H,1-3H3",8.275724,103957926,9.185,8.655,9.327,9.182,8.714,9.075
Test set,"InChI=1S/C25H21BrClNO/c1-14-13-25(2,3)28-20-10-9-18-19-12-17(27)8-11-21(19)29-24(23(18)22(14)20)15-4-6-16(26)7-5-15/h4-13,24,28H,1-3H3",9.229148,103957968,8.662,8.954,8.769,8.529,8.905,
Test set,"InChI=1S/C22H19FN2O3/c1-15-5-7-16(8-6-15)22(26)14-21(17-3-2-4-18(23)13-17)24-19-9-11-20(12-10-19)25(27)28/h2-13,21,24H,14H2,1H3/t21-/m0/s1",7.075721,104142750,7.039,7.056,7.035,6.977,7.082,7.043
Test set,"InChI=1S/C21H26N2O2/c1-11-17(12(2)25-23-11)15-10-16-18(14-9-7-8-13(14)15)22-21(5,6)19(24)20(16,3)4/h10,22H,7-9H2,1-6H3",5.830032,318472954,8.352,7.593,8.297,7.822,7.657,8.921
Test set,"InChI=1S/C54H75NO7/c1-7-54(61)24-22-43-40-16-12-34-27-37(56)15-17-39(34)49(40)41(31-52(43,54)4)33-10-13-36(14-11-33)55(6)25-8-26-62-38-21-23-51(3)35(28-38)29-46(57)50-44-19-18-42(32(2)9-20-48(59)60)53(44,5)47(58)30-45(50)51/h1,10-11,13-14,27,32,35,38,40-47,50,57-58,61H,8-9,12,15-26,28-31H2,2-6H3,(H,59,60)/t32-,35+,38?,40+,41-,42-,43+,44+,45+,46-,47+,50+,51+,52+,53-,54+/m1/s1",8.958607,104039382,,8.54,,,8.499,8.649
Test set,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",8.420216,172097179,8.43,8.707,8.442,8.438,8.733,8.687
Test set,"InChI=1S/C22H22ClNO/c1-5-7-17-21-14(20-15(23)8-6-9-18(20)25-17)10-11-16-19(21)13(2)12-22(3,4)24-16/h5-6,8-12,17,24H,1,7H2,2-4H3",7.21467,104016897,6.994,6.769,6.998,7.057,6.792,6.75
Test set,"InChI=1S/C22H19NO/c1-24-18-13-11-17(12-14-18)22(16-7-3-2-4-8-16)20-15-23-21-10-6-5-9-19(20)21/h2-15,22-23H,1H3",6.320572,125087039,6.695,6.918,6.298,6.313,7.019,
Test set,"InChI=1S/C18H17FN2O2/c1-11-10-18(2,3)20-17-5-4-12(8-16(11)17)13-6-14(19)9-15(7-13)21(22)23/h4-10,20H,1-3H3",8.30103,103961144,7.385,7.956,7.516,7.617,7.934,7.63
Test set,"InChI=1S/C23H24ClNO2/c1-6-7-17-20-14(21-18(27-17)11-9-15(24)22(21)26-5)8-10-16-19(20)13(2)12-23(3,4)25-16/h6,8-12,17,25H,1,7H2,2-5H3",7.537602,104016906,6.497,6.121,6.112,6.505,6.086,6.106
Test set,"InChI=1S/C23H24FNO2/c1-6-7-17-20-14(21-18(27-17)11-9-15(24)22(21)26-5)8-10-16-19(20)13(2)12-23(3,4)25-16/h6,8-12,17,25H,1,7H2,2-5H3",6.69897,104016898,7.171,6.306,7.004,7.266,6.276,6.87
Test set,"InChI=1S/C18H18N2O2/c1-12-11-18(2,3)19-17-8-7-14(10-16(12)17)13-5-4-6-15(9-13)20(21)22/h4-11,19H,1-3H3",7.69897,103961143,7.497,7.553,7.591,7.781,7.537,7.449
Test set,"InChI=1S/C53H73NO7/c1-7-53(60)23-21-42-39-15-11-33-26-36(55)14-16-38(33)48(39)40(30-51(42,53)4)32-9-12-35(13-10-32)54(6)24-25-61-37-20-22-50(3)34(27-37)28-45(56)49-43-18-17-41(31(2)8-19-47(58)59)52(43,5)46(57)29-44(49)50/h1,9-10,12-13,26,31,34,37,39-46,49,56-57,60H,8,11,14-25,27-30H2,2-6H3,(H,58,59)/t31-,34+,37?,39+,40-,41-,42+,43+,44+,45-,46+,49+,50+,51+,52-,53+/m1/s1",8.481486,104039375,8.413,8.703,,8.433,8.669,8.204
Test set,"InChI=1S/C17H19NS/c1-11-7-8-19-16(11)13-5-6-15-14(9-13)12(2)10-17(3,4)18-15/h5-10,18H,1-4H3",7.60206,103985744,7.807,7.153,7.995,7.813,7.132,7.167
Test set,"InChI=1S/C19H19NO/c1-12-10-19(2,3)20-16-9-8-13-14-6-4-5-7-17(14)21-11-15(13)18(12)16/h4-10,20H,11H2,1-3H3",7.075721,103966312,7.104,7.3,7.12,7.159,7.358,7.385
Test set,"InChI=1S/C20H25BrO2/c1-13-9-14(2)16(20(3,4)12-13)8-6-7-15-10-19(23-5)17(21)11-18(15)22/h6-7,9-11,16,22H,2,8,12H2,1,3-5H3/b7-6+",7.075721,103979804,6.456,6.913,6.637,6.539,6.97,6.738
Test set,"InChI=1S/C14H13F3N2O2/c1-2-19-3-4-21-12-7-10-8(5-11(12)19)9(14(15,16)17)6-13(20)18-10/h5-7H,2-4H2,1H3,(H,18,20)",5.283997,46518299,6.423,6.017,6.302,6.373,5.931,5.763
Test set,"InChI=1S/C29H34FN3O3S/c1-29(2,3)20-14-23-27(22-13-12-21(30)16-26(22)36-5)25(18-33(4)17-19-10-8-7-9-11-19)31-28(23)24(15-20)32-37(6,34)35/h7-16,31-32H,17-18H2,1-6H3",6.596879,104005459,6.165,7.16,5.85,6.866,6.887,7.395
Test set,"InChI=1S/C31H30FN3O5/c1-31(2,30(38)34-27(36)19-8-9-19)25-21-4-3-5-23(32)26(21)40-28-22(25)12-13-24(33-28)18-6-10-20(11-7-18)29(37)35-14-16-39-17-15-35/h3-7,10-13,19,25H,8-9,14-17H2,1-2H3,(H,34,36,38)/t25-/m0/s1",5.69037,313068917,6.474,6.515,6.14,6.496,6.516,7.168
Test set,"InChI=1S/C23H25NO2/c1-5-7-18-22-16(21-15(13-25)8-6-9-19(21)26-18)10-11-17-20(22)14(2)12-23(3,4)24-17/h5-6,8-12,18,24-25H,1,7,13H2,2-4H3",6.716699,104016888,6.566,5.944,6.664,6.637,5.954,6.288
Test set,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",8.455932,172097179,,8.743,,,8.77,
Test set,"InChI=1S/C20H21FN2O2S/c1-20(13-6-7-13,14-8-10-15(21)11-9-14)17-12-22-19-16(17)4-3-5-18(19)23-26(2,24)25/h3-5,8-13,22-23H,6-7H2,1-2H3/t20-/m1/s1",6.342944,104097734,7.079,7.148,7.081,7.066,7.183,7.693
Test set,"InChI=1S/C22H23ClN2O/c1-12-11-15(14-8-6-7-13-9-10-24-19(13)14)17(23)16-18(12)25-22(4,5)20(26)21(16,2)3/h6-11,24-25H,1-5H3",7.853872,125084152,7.102,6.804,7.119,7.031,6.784,6.917
Test set,"InChI=1S/C25H21BrFNO/c1-14-13-25(2,3)28-20-9-8-19-18-6-4-5-7-21(18)29-24(23(19)22(14)20)15-10-16(26)12-17(27)11-15/h4-13,24,28H,1-3H3",8.619789,103957945,7.828,8.227,7.994,7.875,8.16,8.282
Test set,"InChI=1S/C22H25ClN2/c1-12-9-17(16-8-6-7-15-10-14(3)24-21(15)16)19(23)18-13(2)11-22(4,5)25-20(12)18/h6-10,13,24-25H,11H2,1-5H3",5.853872,160856423,7.455,7.38,7.584,7.496,7.391,7.556
Test set,"InChI=1S/C19H22N2O4/c1-9-13(10(2)25-21-9)11-7-12-14(16-15(11)23-8-24-16)20-19(5,6)17(22)18(12,3)4/h7,20H,8H2,1-6H3",5.644166,318472952,6.457,7.214,,,7.236,
Test set,"InChI=1S/C20H21NO/c1-12-10-20(2,3)21-19-8-14-7-17-13(11-22)5-4-6-15(17)18(14)9-16(12)19/h4-6,8-10,21-22H,7,11H2,1-3H3",7.920819,103965678,6.564,6.262,6.996,7.045,6.279,6.411
Test set,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",8.455932,172097179,,8.728,,,8.755,
Test set,"InChI=1S/C13H8ClNOS/c14-10-3-1-2-8(6-10)9-4-5-11-12(7-9)17-13(16)15-11/h1-7H,(H,15,16)",6.896196,104001281,,6.79,,,6.798,
Test set,"InChI=1S/C15H19ClN2O/c1-10-12(7-6-11(9-17)14(10)16)18-13-5-3-4-8-15(13,2)19/h6-7,13,18-19H,3-5,8H2,1-2H3/t13-,15-/m1/s1",6.283997,104034550,8.291,7.154,8.648,8.67,7.2,8.694
Test set,"InChI=1S/C21H23ClN2O/c1-11-10-15(14-7-5-6-13-8-9-23-19(13)14)17(22)16-12(2)20(25)21(3,4)24-18(11)16/h5-10,12,20,23-25H,1-4H3/t12-,20+/m0/s1",5.853872,125084156,6.229,6.431,6.058,6.288,6.418,6.282
Test set,"InChI=1S/C56H76N2O9/c1-7-56(67)25-23-42-39-15-11-33-26-36(59)14-16-38(33)50(39)40(30-54(42,56)4)32-9-12-35(13-10-32)58(6)49(64)21-19-45(52(65)66)57-48(63)20-8-31(2)41-17-18-43-51-44(29-47(62)55(41,43)5)53(3)24-22-37(60)27-34(53)28-46(51)61/h1,9-10,12-13,26,31,34,37,39-47,51,60-62,67H,8,11,14-25,27-30H2,2-6H3,(H,57,63)(H,65,66)/t31-,34+,37-,39+,40-,41-,42+,43+,44+,45+,46-,47+,51+,53+,54+,55-,56+/m1/s1",8.920819,104039387,,8.6,,,8.424,
Test set,"InChI=1S/C22H18F3NO/c1-14-5-7-15(8-6-14)22(27)13-21(16-3-2-4-17(23)11-16)26-18-9-10-19(24)20(25)12-18/h2-12,21,26H,13H2,1H3",6.241088,104142747,7.36,7.212,7.475,7.241,7.246,7.5
Test set,"InChI=1S/C19H18BrN/c1-11-10-19(2,3)21-18-8-13-6-12-7-14(20)4-5-15(12)17(13)9-16(11)18/h4-5,7-10,21H,6H2,1-3H3",7.619789,103965694,7.06,7.52,,6.401,7.504,
Test set,"InChI=1S/C17H16N2S/c1-11-9-17(2,3)19-15-6-4-12(8-14(11)15)16-7-5-13(10-18)20-16/h4-9,19H,1-3H3",7.259637,103985752,7.309,7.128,7.157,7.39,7.183,7.203
Test set,"InChI=1S/C19H18FNO/c1-11-9-19(2,3)21-16-6-5-13-14-8-12(20)4-7-17(14)22-10-15(13)18(11)16/h4-9,21H,10H2,1-3H3",8.21467,103966327,7.679,7.446,8.014,7.735,7.483,7.921
Test set,"InChI=1S/C24H34O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h13-14,18-20H,6-12H2,1-5H3",7.886057,136352729,9.089,8.459,,9.053,8.356,8.781
Test set,"InChI=1S/C26H23ClFNO/c1-14-11-16(5-8-20(14)27)25-24-18(19-12-17(28)6-10-22(19)30-25)7-9-21-23(24)15(2)13-26(3,4)29-21/h5-13,25,29H,1-4H3",9.309804,103957952,9.317,8.796,9.37,9.271,8.787,9.273
Test set,"InChI=1S/C29H28FNO/c1-17(2)21-9-7-6-8-19(21)14-26-28-22(23-15-20(30)10-13-25(23)32-26)11-12-24-27(28)18(3)16-29(4,5)31-24/h6-17,31H,1-5H3/b26-14-",8.721246,104024095,8.564,8.91,8.681,8.546,8.819,8.821
Test set,"InChI=1S/C20H22FNO/c1-11-7-13(21)8-15-14-5-6-17-18(16(14)10-23-19(11)15)12(2)9-20(3,4)22-17/h5-8,12,22H,9-10H2,1-4H3",6.407823,104020818,7.683,8.052,7.467,7.61,8.045,7.752
Test set,"InChI=1S/C18H23NO2/c1-12-8-13(2)16(18(4,5)11-12)10-15-6-7-17(19(20)21)14(3)9-15/h6-9,16H,2,10-11H2,1,3-5H3",7.537602,103979817,7.483,8.174,,,8.175,7.79
Test set,"InChI=1S/C18H22N2O2/c1-10-15(11(2)22-20-10)12-7-8-14-13(9-12)17(3,4)16(21)18(5,6)19-14/h7-9,19H,1-6H3",7.657577,318472956,8.499,7.157,8.92,8.144,7.169,8.82
Test set,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",8.455932,172097179,,8.708,,,8.734,
Test set,"InChI=1S/C18H25IO2/c1-18-7-6-13-12-5-3-11(20)8-10(12)2-4-14(13)15(18)9-16(19)17(18)21/h8,12-17,21H,2-7,9H2,1H3/t12?,13?,14?,15?,16-,17?,18?/m1/s1",7.400117,103936218,8.589,7.788,8.509,8.817,7.804,8.488
Test set,"InChI=1S/C26H24ClNO2/c1-25(2)22-19(28-26(3,4)24(25)29)14-13-18-17-7-5-6-8-20(17)30-23(21(18)22)15-9-11-16(27)12-10-15/h5-14,23,28H,1-4H3",8.275724,103969243,8.784,7.994,8.969,8.958,7.984,8.42
Test set,"InChI=1S/C29H28FN3O5/c1-17(34)31-28(36)29(2,3)24-20-5-4-6-22(30)25(20)38-26-21(24)11-12-23(32-26)18-7-9-19(10-8-18)27(35)33-13-15-37-16-14-33/h4-12,24H,13-16H2,1-3H3,(H,31,34,36)/t24-/m0/s1",6.571865,313068915,6.703,6.473,6.335,6.376,6.496,6.252
Test set,"InChI=1S/C24H24FNO/c1-14(2)6-10-21-23-17(18-12-16(25)7-11-20(18)27-21)8-9-19-22(23)15(3)13-24(4,5)26-19/h6-13,26H,1-5H3/b21-10-",8.60206,104020787,8.425,8.479,8.461,8.423,8.42,8.292
Test set,"InChI=1S/C26H22ClNO/c1-16-15-26(2,3)28-21-12-11-20-19-9-4-5-10-22(19)29-23(25(20)24(16)21)14-17-7-6-8-18(27)13-17/h4-15,28H,1-3H3/b23-14-",7.728158,103962119,8.731,8.809,8.647,8.609,8.807,8.597
Test set,"InChI=1S/C25H21Cl2NO/c1-14-13-25(2,3)28-20-9-8-19-18-6-4-5-7-21(18)29-24(23(19)22(14)20)15-10-16(26)12-17(27)11-15/h4-13,24,28H,1-3H3",8.769551,103957944,8.253,8.761,8.517,8.329,8.741,8.464
Test set,"InChI=1S/C18H18N2OS/c1-17(2)14-8-11(12-7-13(9-19)22-10-12)5-6-15(14)20-18(3,4)16(17)21/h5-8,10,20H,1-4H3",7.920819,103985750,8.683,7.694,9.129,9.022,7.743,8.082
Test set,"InChI=1S/C26H21F2NO/c1-15-14-26(2,3)29-21-12-11-18-19-5-4-6-20(28)25(19)30-22(24(18)23(15)21)13-16-7-9-17(27)10-8-16/h4-14,29H,1-3H3/b22-13-",9.148742,104024100,8.871,8.458,9.017,8.98,8.466,8.695
Test set,"InChI=1S/C25H24ClNO/c1-15-14-25(2,3)27-20-13-12-19-18-6-4-5-7-21(18)28-24(23(19)22(15)20)16-8-10-17(26)11-9-16/h4-13,15,24,27H,14H2,1-3H3/t15-,24+/m1/s1",7.040959,103969240,9.011,8.96,9.01,9.139,8.99,8.879
Test set,"InChI=1S/C21H23ClN2/c1-12-9-16(15-6-5-14-7-8-23-17(14)10-15)19(22)18-13(2)11-21(3,4)24-20(12)18/h5-10,13,23-24H,11H2,1-4H3",5.638272,160856427,6.737,7.002,6.866,6.838,7.009,6.346
Test set,"InChI=1S/C27H25NO/c1-17-8-7-9-19(14-17)15-24-26-21(20-10-5-6-11-23(20)29-24)12-13-22-25(26)18(2)16-27(3,4)28-22/h5-16,28H,1-4H3/b24-15-",7.39794,103962121,,,,,,
Test set,"InChI=1S/C20H19FN2O2S/c1-20(2,18(25)23-19-22-10-11-26-19)17(13-6-4-3-5-7-13)14-8-9-16(24)15(21)12-14/h3-12,17,24H,1-2H3,(H,22,23,25)/t17-/m0/s1",7.275724,136355091,7.276,6.949,7.487,7.388,6.974,7.234
Test set,"InChI=1S/C16H16N2O3S/c1-21-15-9-4-3-6-11(15)13-10-17-16-12(13)7-5-8-14(16)18-22(2,19)20/h3-10,17-18H,1-2H3",7.065502,104005464,,6.27,,,6.208,5.718
Test set,"InChI=1S/C17H20N2O/c1-11-7-12(2)14(17(3,4)10-11)8-13-5-6-15-16(9-13)19-20-18-15/h5-7,9,14H,2,8,10H2,1,3-4H3",7.055517,103979807,,5.824,,,5.979,
Test set,"InChI=1S/C13H15ClN2O2/c1-8-10(4-3-9(5-15)12(8)14)16-11-6-18-7-13(11,2)17/h3-4,11,16-17H,6-7H2,1-2H3/t11-,13-/m1/s1",5.91364,104034549,4.947,5.876,4.548,4.733,5.885,6.753
Test set,"InChI=1S/C21H23ClN2/c1-12-9-15(16-11-23-17-8-6-5-7-14(16)17)19(22)18-13(2)10-21(3,4)24-20(12)18/h5-9,11,13,23-24H,10H2,1-4H3",6.346787,160856426,7.159,7.314,7.239,7.301,7.361,6.87
Test set,"InChI=1S/C24H32O4S/c1-14(25)29-19-13-15-12-16(26)4-8-22(15,2)17-5-9-23(3)18(21(17)19)6-10-24(23)11-7-20(27)28-24/h12,17-19,21H,4-11,13H2,1-3H3/t17-,18-,19+,21+,22-,23-,24+/m0/s1",6.398266,104097735,8.849,7.932,9.059,9.021,7.891,8.066
Test set,"InChI=1S/C18H19N/c1-13-12-18(2,3)19-17-10-9-15(11-16(13)17)14-7-5-4-6-8-14/h4-12,19H,1-3H3",6.876148,103961147,6.668,6.983,6.724,6.824,6.994,7.131
Test set,"InChI=1S/C20H21NO2/c1-12-10-20(2,3)21-17-8-7-14-15-6-5-13(22-4)9-18(15)23-11-16(14)19(12)17/h5-10,21H,11H2,1-4H3",6.447332,104020804,6.204,6.743,6.393,6.663,6.8,6.773
Test set,"InChI=1S/C26H22F3NO/c1-15-14-25(2,3)30-20-12-11-19-18-9-4-5-10-21(18)31-24(23(19)22(15)20)16-7-6-8-17(13-16)26(27,28)29/h4-14,24,30H,1-3H3",8.585027,103957928,7.76,7.84,7.719,7.796,7.833,7.889
Test set,"InChI=1S/C24H27F2N3O2/c1-13-11-27-22-14(13)7-6-8-15(22)19-16(25)9-17-20(21(19)26)18(10-23(2,3)28-17)29-31-24(4,5)12-30/h6-9,11,27-28,30H,10,12H2,1-5H3/b29-18+",6.022276,131343598,5.043,6.372,5.062,5.372,6.287,5.829
Test set,"InChI=1S/C14H17ClN2O/c1-9-11(6-5-10(8-16)13(9)15)17-12-4-3-7-14(12,2)18/h5-6,12,17-18H,3-4,7H2,1-2H3/t12-,14-/m1/s1",6.059484,104034552,6.931,7.131,6.769,6.69,7.155,7.823
Test set,"InChI=1S/C22H19F2NO/c1-15-5-7-16(8-6-15)22(26)14-21(17-3-2-4-19(24)13-17)25-20-11-9-18(23)10-12-20/h2-13,21,25H,14H2,1H3",6.352617,104142746,6.699,6.957,7.036,6.568,7.053,7.294
Test set,"InChI=1S/C25H21ClFNO/c1-14-13-25(2,3)28-20-9-8-18-19-12-17(27)7-10-21(19)29-24(23(18)22(14)20)15-5-4-6-16(26)11-15/h4-13,24,28H,1-3H3",7.522879,103957955,8.831,8.526,8.944,8.89,8.481,8.742
Test set,"InChI=1S/C19H17N3O3S/c1-19(2,17(24)21-18-22-20-10-26-18)16-12-5-3-4-6-14(12)25-15-9-11(23)7-8-13(15)16/h3-10,16,23H,1-2H3,(H,21,22,24)/t16-/m0/s1",7.275724,136355101,6.779,6.823,6.811,6.62,6.998,6.446
Test set,"InChI=1S/C19H17F2N/c1-10-9-19(2,3)22-15-8-12-6-11-7-13(20)4-5-14(11)17(12)18(21)16(10)15/h4-5,7-9,22H,6H2,1-3H3",8.823909,103965708,8.084,8.294,8,8.102,8.313,8.51
Test set,"InChI=1S/C19H17ClFNO/c1-10-8-19(2,3)22-16-5-4-12-13-6-11(20)7-15(21)18(13)23-9-14(12)17(10)16/h4-8,22H,9H2,1-3H3",8.251812,104020808,7.623,7.45,7.533,7.862,7.48,7.739
Test set,"InChI=1S/C19H18FN3O2S/c1-12(2)23-11-17(13-4-5-14(10-21)18(20)8-13)16-7-6-15(9-19(16)23)22-26(3,24)25/h4-9,11-12,22H,1-3H3",9.669586,125087033,8.607,8.107,8.826,8.5,8.077,8.773
Test set,"InChI=1S/C55H77NO8/c1-7-55(62)23-21-44-41-15-11-35-28-38(57)14-16-40(35)50(41)42(32-53(44,55)4)34-9-12-37(13-10-34)56(6)24-25-63-26-27-64-39-20-22-52(3)36(29-39)30-47(58)51-45-18-17-43(33(2)8-19-49(60)61)54(45,5)48(59)31-46(51)52/h1,9-10,12-13,28,33,36,39,41-48,51,58-59,62H,8,11,14-27,29-32H2,2-6H3,(H,60,61)/t33-,36+,39-,41+,42-,43-,44+,45+,46+,47-,48+,51+,52+,53+,54-,55+/m1/s1",8.769551,163359211,9.044,8.679,,9.457,8.648,8.995
Test set,"InChI=1S/C21H16F5NO2/c1-9-8-20(2,3)27-14-7-13-16(17(23)15(9)14)11-5-4-10(22)6-12(11)18(13)29-19(28)21(24,25)26/h4-8,18,27H,1-3H3",7.200659,103965689,,7.193,,,7.14,
Test set,"InChI=1S/C17H17NOS/c1-11-9-17(2,3)18-15-6-4-12(8-14(11)15)16-7-5-13(10-19)20-16/h4-10,18H,1-3H3",7.09691,103985751,6.991,6.576,7.039,7.165,6.643,6.702
Test set,"InChI=1S/C19H21N/c1-12-11-19(2,3)20-18-9-14-8-13-6-4-5-7-15(13)17(14)10-16(12)18/h4-7,9-10,12,20H,8,11H2,1-3H3",7.060481,103965702,7.669,7.318,7.695,7.859,7.343,7.783
Test set,"InChI=1S/C17H15FN2O2/c1-10(21)20-15-5-3-4-12-14(9-19-17(12)15)13-8-11(18)6-7-16(13)22-2/h3-9,19H,1-2H3,(H,20,21)",6.162412,104005466,,5.429,,,5.375,5.21
Test set,"InChI=1S/C20H21NO/c1-12-5-8-18-15(9-12)14-6-7-17-19(16(14)11-22-18)13(2)10-20(3,4)21-17/h5-10,21H,11H2,1-4H3",7.346787,103966333,7.477,7.426,7.77,7.543,7.458,7.513
Test set,"InChI=1S/C27H24FNOS/c1-16-15-27(2,3)29-21-11-10-19-20-14-18(28)9-12-22(20)30-23(26(19)25(16)21)13-17-7-5-6-8-24(17)31-4/h5-15,29H,1-4H3/b23-13-",9.229148,104024092,8.469,7.971,8.7,8.458,7.933,8.121
Test set,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",8.468521,172097179,8.418,8.726,,,8.752,
Test set,"InChI=1S/C26H21ClFNO/c1-15-14-26(2,3)29-21-10-9-18-19-13-17(28)8-11-22(19)30-23(25(18)24(15)21)12-16-6-4-5-7-20(16)27/h4-14,29H,1-3H3/b23-12-",7.649752,104024111,8.785,9.018,8.839,8.907,9.004,8.901
Test set,"InChI=1S/C29H28FN3O4/c1-17(34)31-28(36)29(2,3)24-20-7-6-8-22(30)25(20)37-26-21(24)13-14-23(32-26)18-9-11-19(12-10-18)27(35)33-15-4-5-16-33/h6-14,24H,4-5,15-16H2,1-3H3,(H,31,34,36)/t24-/m0/s1",4.907279,313068914,5.855,6.847,4.632,5.443,6.836,5.8
Test set,"InChI=1S/C19H18FNO/c1-10-9-19(2,3)21-17-8-16-14(7-13(10)17)12-5-4-11(20)6-15(12)18(16)22/h4-9,18,21-22H,1-3H3",6.995679,103965690,7.975,6.898,8.235,8.122,6.927,7.513
Test set,"InChI=1S/C26H24ClNO/c1-15-13-17(9-11-20(15)27)25-24-19(18-7-5-6-8-22(18)29-25)10-12-21-23(24)16(2)14-26(3,4)28-21/h5-14,25,28H,1-4H3",8.920819,103957937,9.07,8.544,9.106,8.964,8.55,8.893
Test set,"InChI=1S/C20H21NO2/c1-12-10-20(2,3)21-17-7-6-14-15-9-13(22-4)5-8-18(15)23-11-16(14)19(12)17/h5-10,21H,11H2,1-4H3",7.065502,104020802,6.335,6.806,6.74,6.693,6.84,6.93
Test set,"InChI=1S/C21H22ClFN2/c1-11-9-15(13-5-6-16(23)14-7-8-24-20(13)14)18(22)17-12(2)10-21(3,4)25-19(11)17/h5-9,12,24-25H,10H2,1-4H3",7.124939,160856433,7.158,7.453,6.995,7.063,7.472,7.086
Test set,"InChI=1S/C15H12F6N2O2/c1-7-5-23(6-14(16,17)18)11-2-8-9(15(19,20)21)3-13(24)22-10(8)4-12(11)25-7/h2-4,7H,5-6H2,1H3,(H,22,24)",5.154902,46518307,5.3,5.901,5.142,5.399,5.854,5.721
Test set,"InChI=1S/C18H23BrO2/c1-11-6-12(2)14(18(3,4)10-11)7-13-8-17(21-5)15(19)9-16(13)20/h6,8-9,14,20H,2,7,10H2,1,3-5H3",7.508638,103979815,6.508,6.967,6.31,6.413,6.925,6.454
Test set,"InChI=1S/C23H25NO2/c1-6-8-18-22-15(21-17(25-5)9-7-10-19(21)26-18)11-12-16-20(22)14(2)13-23(3,4)24-16/h6-7,9-13,18,24H,1,8H2,2-5H3",5.747147,104002693,6.214,6.129,6.079,6.112,6.11,5.904
